Gene	Treatment A label (can include Latex, e.g. (humble $\pi)^{\tau\rho y}$)
LONRF1	-8.12
LONRF2	-2.08
LONRF3	-6.43
LOR	-3.18
LOX	-2.45
LOXHD1	3.44
LOXL1	9.84
LOXL2	1.48
LOXL3	-9.25
LOXL4	1.72
LPA	-9.87
LPAR1	-7.67
LPAR2	2.82
LPAR3	-7.03
LPAR4	1.01
LPAR5	5.19
LPAR6	-6.62
LPCAT1	2.61
LPCAT2	-4.21
LPCAT3	6.33
LPCAT4	4.98
LPGAT1	-3.52
LPHN1	0.31
LPHN2	-0.39
LPHN3	-0.07
LPIN1	7.81
LPIN2	-5.25
LPIN3	-1.09
LPL	8.83
LPO	-4.59
LPP	-6.28
LPPR1	-1.66
LPPR2	-3.08
LPPR3	-7.06
LPPR4	7.94
LPPR5	-5.32
LPXN	-3.27
LRAT	-5.84
LRBA	7.9
LRCH1	-5.21
LRCH2	7.88
LRCH3	3.03
LRCH4	-6.76
LRCOL1	5.95
LRFN1	8.32
LRFN2	6.35
LRFN3	-0.47
LRFN4	-4.26
LRFN5	-9.55
LRG1	4.69
LRGUK	-9.43
LRIF1	9.36
LRIG1	-4.39
LRIG2	6.37
LRIG3	7.28
LRIT1	2.73
LRIT2	3.25
LRIT3	-1.65
LRMP	4.63
LRP1	-9.08
LRP10	3.43
LRP11	-0.3
LRP12	2.52
LRP1B	-8.07
LRP2	4.97
LRP2BP	4.89
LRP3	7.03
LRP4	9.56
LRP5	-0.54
LRP5L	0.83
LRP6	-6.34
LRP8	6.5
LRPAP1	-4.32
LRPPRC	-7.07
LRR1	4.9
LRRC1	3.08
LRRC10	8.85
LRRC10B	4.43
LRRC14	8.86
LRRC14B	4.76
LRRC15	-6.23
LRRC16A	2.24
LRRC16B	-8.44
LRRC17	-4.03
LRRC18	7.07
LRRC19	-2.62
LRRC2	4.29
LRRC20	3.01
LRRC23	3.6
LRRC24	6.24
LRRC25	9.84
LRRC26	3.11
LRRC27	-7.53
LRRC28	1.31
LRRC29	2.74
LRRC3	-5.38
LRRC30	-7.91
LRRC31	-9.07
LRRC32	2.97
LRRC34	1.97
LRRC36	5.14
LRRC37A	-1.32
LRRC37A2	3.45
LRRC37A3	4.9
LRRC37B	-5.78
LRRC38	-4.5
LRRC39	3.69
LRRC3B	-3.88
LRRC3C	6.93
LRRC4	-0.58
LRRC40	-8.23
LRRC41	4.39
LRRC42	-5.01
LRRC43	-3.99
LRRC45	-9.93
LRRC46	-6.23
LRRC47	-5.43
LRRC48	-4.05
LRRC49	-0.02
LRRC4B	7.67
LRRC4C	-7.86
LRRC52	0.6
LRRC55	-1.99
LRRC56	4.15
LRRC57	-4.27
LRRC58	-2.24
LRRC59	-8.38
LRRC6	4.66
LRRC61	3.47
LRRC63	-5.2
LRRC66	2.49
LRRC69	4.27
LRRC7	-4.51
LRRC70	-5.17
LRRC71	4.49
LRRC72	-7.69
LRRC73	5.47
LRRC8A	-8.19
LRRC8B	-8.87
LRRC8C	-0.99
LRRC8D	-6.91
LRRC8E	-2.24
LRRCC1	6.94
LRRD1	1.69
LRRFIP1	-1.75
LRRFIP2	1.59
LRRIQ1	-1.56
LRRIQ3	7.85
LRRIQ4	2.78
LRRK1	-7.99
LRRK2	-9.97
LRRN1	-8.55
LRRN2	-1.33
LRRN3	8.05
LRRN4	-1.27
LRRN4CL	2.94
LRRTM1	-9.01
LRRTM2	-2.56
LRRTM3	6.64
LRRTM4	-8.42
LRSAM1	-3.96
LRTM1	-7.29
LRTM2	-6.07
LRTOMT	1.66
LRWD1	-4.97
LSAMP	-7.75
LSG1	7.43
LSM1	-8.75
LSM10	3.16
LSM11	0.68
LSM12	-0.76
LSM14A	-5.26
LSM14B	8.41
LSM2	-4.97
LSM3	6
LSM4	6.29
LSM5	0.04
LSM6	-2.78
LSM7	4.03
LSMD1	8.72
LSMEM1	2.46
LSMEM2	-1.63
LSP1	-7.77
LSR	2.87
LSS	-5.04
LST1	1.79
LTA	-0.28
LTA4H	0.78
LTB	4.8
LTB4R	-2.41
LTB4R2	-6.3
LTBP1	-9.85
LTBP2	1.35
LTBP3	-7.21
LTBP4	2.33
LTBR	9.65
LTC4S	1.8
LTF	-3.22
LTK	7.17
LTN1	2.66
LTV1	3.14
LUC7L	1.27
LUC7L2	9.64
LUC7L3	4.95
LUM	-8.09
LURAP1	3
LURAP1L	-7.04
LUZP1	1.01
LUZP2	-5.54
LUZP4	2.13
LXN	4.4
LY6D	2.38
LY6E	9.11
LY6G5B	8.55
LY6G5C	2.01
LY6G6C	-2.75
LY6G6D	-4.02
LY6G6F	-6.02
LY6H	1.09
LY6K	0
LY75	5.69
LY75-CD302	6.56
LY86	6.6
LY9	5.08
LY96	-1.32
LYAR	-4.86
LYG1	-5.78
LYG2	-8.51
LYL1	2.26
LYN	4.82
LYNX1	-3.65
LYPD1	3.24
LYPD2	-6.43
LYPD3	-4.41
LYPD4	-1.32
LYPD5	-1.92
LYPD6	1.12
LYPD6B	-9.47
LYPD8	4.2
LYPLA1	5.99
LYPLA2	3.52
LYPLAL1	-0.74
LYRM1	-2.87
LYRM2	-0.85
LYRM4	-1.04
LYRM7	8.59
LYRM9	3.83
LYSMD1	-5.31
LYSMD2	2.26
LYSMD3	0.66
LYSMD4	9.14
LYST	-7.52
LYVE1	8.6
LYZ	-4.61
LYZL1	8.28
LYZL2	3.24
LYZL4	-9.46
LYZL6	1.21
LZIC	7.5
LZTFL1	-1.75
LZTR1	4.19
LZTS1	1.78
LZTS2	2.07
LZTS3	3.69
M1AP	2.7
M6PR	3.4
MAATS1	-5.03
MAB21L1	-2.85
MAB21L2	2.42
MAB21L3	-4.35
MACC1	6.46
MACF1	-4.38
MACROD1	7.71
MACROD2	0.19
MAD1L1	2.33
MAD2L1	-4.47
MAD2L1BP	-3.61
MAD2L2	8.24
MADCAM1	4.62
MADD	-6.12
MAEA	-5.97
MAEL	9.5
MAF	3.07
MAF1	-1.66
MAFA	-9.72
MAFB	4.71
MAFF	7.38
MAFG	-8.15
MAFK	-2.05
MAG	-0.84
MAGEA1	8.03
MAGEA10	-9.9
MAGEA11	1.31
MAGEA12	-7.7
MAGEA2	-0.67
MAGEA2B	1.48
MAGEA3	8.81
MAGEA4	1.47
MAGEA5	-7.11
MAGEA6	7.27
MAGEA8	1.62
MAGEA9	-6.39
MAGEA9B	9.45
MAGEB1	4.77
MAGEB10	0.92
MAGEB16	-0.11
MAGEB17	-5.91
MAGEB18	5.16
MAGEB2	3.16
MAGEB3	-6.52
MAGEB4	2.85
MAGEB5	9.44
MAGEB6	5.86
MAGEC1	-2.42
MAGEC2	6.13
MAGEC3	1.33
MAGED1	7.91
MAGED2	9.32
MAGED4	2.65
MAGED4B	8.58
MAGEE1	0.91
MAGEE2	5.8
MAGEF1	9.26
MAGEH1	-8.3
MAGEL2	-6.85
MAGI1	-5.53
MAGI2	8.88
MAGI3	2.23
MAGIX	0.15
MAGOH	-3.26
MAGOHB	6.26
MAGT1	-9.88
MAK	-8.1
MAK16	-4.72
MAL	-4.08
MAL2	-1.55
MALL	-9.85
MALRD1	-4.61
MALSU1	5.42
MALT1	1.47
MAMDC2	-7.47
MAMDC4	-1.89
MAML1	-6.03
MAML2	-2.35
MAML3	2.4
MAMLD1	-0.55
MAMSTR	0.13
MAN1A1	-0.24
MAN1A2	7.52
MAN1B1	-5.18
MAN1C1	3.93
MAN2A1	9.57
MAN2A2	8.38
MAN2B1	0.32
MAN2B2	1.58
MAN2C1	-5.71
MANBA	-2.68
MANBAL	-9.51
MANEA	-7.55
MANEAL	-4.18
MANF	-6.15
MANSC1	-7.12
MANSC4	3.84
MAOA	2.06
MAOB	0.02
MAP10	-1.07
MAP1A	-0.04
MAP1B	3.16
MAP1LC3A	-4.68
MAP1LC3B	5.29
MAP1LC3B2	7.53
MAP1LC3C	0.95
MAP1S	-1.45
MAP2	-3.66
MAP2K1	-6.01
MAP2K2	8.62
MAP2K3	4.05
MAP2K4	4.39
MAP2K5	-7.77
MAP2K6	-5.05
MAP2K7	1.69
MAP3K1	-4.67
MAP3K10	4.41
MAP3K11	0.52
MAP3K12	4.05
MAP3K13	6.76
MAP3K14	6.63
MAP3K15	2.14
MAP3K19	4
MAP3K2	2.12
MAP3K3	4.98
MAP3K4	-5.08
MAP3K5	5.58
MAP3K6	-3.99
MAP3K7	-7.76
MAP3K7CL	-1.48
MAP3K8	-2.14
MAP3K9	4.64
MAP4	2.62
MAP4K1	-4.18
MAP4K2	-3.86
MAP4K3	3.59
MAP4K4	9.6
MAP4K5	4.12
MAP6	-9.95
MAP6D1	0.27
MAP7	-3.4
MAP7D1	-5.79
MAP7D2	0.05
MAP7D3	7.04
MAP9	3.06
MAPK1	0.01
MAPK10	0.85
MAPK11	-4.38
MAPK12	8.8
MAPK13	-4.25
MAPK14	3.48
MAPK15	-3.18
MAPK1IP1L	5.57
MAPK3	-6.02
MAPK4	0.99
MAPK6	3.51
MAPK7	3.45
MAPK8	1.87
MAPK8IP1	-0.16
MAPK8IP2	3.75
MAPK8IP3	-6.76
MAPK9	1.5
MAPKAP1	5.01
MAPKAPK2	1.09
MAPKAPK3	1.26
MAPKAPK5	4.87
MAPKBP1	-8.23
MAPRE1	-4.57
MAPRE2	-2.46
MAPRE3	-4.82
MAPT	9.2
MARC1	-4.6
MARC2	-9.88
MARCH1	8.09
MARCH10	3.86
MARCH11	4.26
MARCH2	1.99
MARCH3	-7.35
MARCH4	-9.79
MARCH5	6.46
MARCH6	8.27
MARCH7	7.07
MARCH8	0.76
MARCH9	-1.19
MARCKS	1.95
MARCKSL1	-3.34
MARCO	0.17
MARK1	6.97
MARK2	-2.07
MARK3	-0.47
MARK4	6.47
MARS	-6.32
MARS2	9.53
MARVELD1	-9.63
MARVELD2	5.83
MARVELD3	6.29
MAS1	-7.36
MAS1L	2.2
MASP1	1.68
MASP2	0.04
MAST1	6.42
MAST2	2.7
MAST3	-2.42
MAST4	-7.09
MASTL	-7.34
MAT1A	-1.56
MAT2A	-8.44
MAT2B	9.12
MATK	-4.62
MATN1	-3.37
MATN2	5.36
MATN3	5.14
MATN4	5.19
MATR3	-2.49
MAU2	6.33
MAVS	-7.8
MAX	-7.12
MAZ	0.36
MB	-9.81
MB21D1	6.82
MB21D2	-4.98
MBD1	-8.46
MBD2	-7.59
MBD3	6.74
MBD3L1	2.73
MBD3L2	6.8
MBD3L3	-8.37
MBD3L4	-9.23
MBD3L5	1.54
MBD4	2.45
MBD5	7.51
MBD6	-8.21
MBIP	-7.54
MBL2	8.9
MBLAC1	-7.08
MBLAC2	2.23
MBNL1	3.41
MBNL2	4.34
MBNL3	6.15
MBOAT1	9.54
MBOAT2	-4.76
MBOAT4	0.46
MBOAT7	4.68
MBP	-7.23
MBTD1	7.65
MBTPS1	-7.53
MBTPS2	9.4
MC1R	-5.67
MC2R	0.15
MC3R	5.68
MC4R	-7.07
MC5R	-9.47
MCAM	-9.14
MCAT	-6.81
MCC	2.09
MCCC1	5.49
MCCC2	-9.67
MCCD1	-4.28
MCEE	-8.72
MCF2	-6.99
MCF2L	-4.44
MCF2L2	7.6
MCFD2	-6.61
MCHR1	-3.85
MCHR2	7
MCIDAS	9.71
MCL1	-3.41
MCM10	-3.16
MCM2	3.67
MCM3	4.04
MCM3AP	9.76
MCM4	-1.88
MCM5	-6.04
MCM6	-8.93
MCM7	-4.59
MCM8	4.73
MCM9	-4.76
MCMBP	-4.28
MCMDC2	2.12
MCOLN1	5.38
MCOLN2	-0.12
MCOLN3	-1.74
MCPH1	4.92
MCRS1	-7.82
MCTP1	-8.26
MCTP2	-3.97
MCTS1	2.86
MCU	-7.99
MCUR1	-9.85
MDC1	-1.85
MDFI	-9.54
MDFIC	-8
MDGA1	3.69
MDGA2	-5.06
MDH1	-5.84
MDH1B	-8.85
MDH2	-9.59
MDK	-1.48
MDM1	0.72
MDM2	1.2
MDM4	5.85
MDN1	-4.98
MDP1	9.36
ME1	9.34
ME2	-7.47
ME3	-1.21
MEA1	-0.31
MEAF6	-2.76
MECOM	-5.55
MECP2	2.84
MECR	-6.5
MED1	5.97
MED10	-2.37
MED11	0.44
MED12	-6.78
MED12L	-2.94
MED13	3.11
MED13L	-2.95
MED14	6.27
MED15	5.17
MED16	5.97
MED17	3.31
MED18	0.52
MED19	-3.27
MED20	9.4
MED21	0
MED22	-2.42
MED23	5.77
MED24	4.71
MED25	4.96
MED26	6.61
MED27	-7.44
MED28	-4.59
MED29	2.23
MED30	2.59
MED31	6.23
MED4	6.88
MED6	-4.09
MED7	3.46
MED8	1.94
MED9	2.39
MEDAG	7.04
MEF2A	7.66
MEF2B	-8.49
MEF2BNB	-1.09
MEF2BNB-MEF2B	2.9
MEF2C	6.41
MEF2D	4.26
MEFV	7.6
MEGF10	-6.23
MEGF11	7.26
MEGF6	-4.38
MEGF8	-7.83
MEGF9	-2.26
MEI1	5.69
MEI4	-5.13
MEIG1	0.87
MEIOB	-0.39
MEIS1	-5.86
MEIS2	-9.93
MEIS3	-3.28
MELK	1.74
MEMO1	-9.01
MEN1	-6.47
MEOX1	-2.87
MEOX2	4.96
MEP1A	6.49
MEP1B	4.75
MEPCE	3.21
MEPE	5.55
MERTK	-9.21
MESDC1	3.51
MESDC2	1.29
MESP1	0.65
MESP2	1.31
MEST	2.74
MET	1.31
METAP1	3.02
METAP1D	0.17
METAP2	-6.57
METRN	0.15
METRNL	3.52
METTL1	8.81
METTL10	-9.28
METTL11B	-0.57
METTL12	-4
METTL13	-4.2
METTL14	-8.84
METTL15	4.51
METTL16	1.77
METTL17	1.29
METTL18	7.05
METTL20	-6.24
METTL21A	7.18
METTL21B	9.81
METTL21C	5.77
METTL21D	4.39
METTL22	5.78
METTL23	-1.58
METTL24	-8.62
METTL25	-9.39
METTL2A	-4.04
METTL2B	-4.61
METTL3	2.23
METTL4	-7.36
METTL5	8.94
METTL6	-9.94
METTL7A	5.44
METTL7B	4.64
METTL9	-9.02
MEX3A	-0.73
MEX3B	0.11
MEX3C	-6.88
MEX3D	2.77
MFAP1	4.11
MFAP2	2.97
MFAP3	0.65
MFAP3L	0.09
MFAP4	3
MFAP5	-8.11
MFF	-3.43
MFGE8	-0.12
MFHAS1	0.85
MFI2	-2.55
MFN1	2.69
MFN2	1.68
MFNG	-9.74
MFRP	-6.11
MFSD1	-4.85
MFSD10	-8.81
MFSD11	-8.26
MFSD12	7.62
MFSD2A	8.43
MFSD2B	0.22
MFSD3	6.83
MFSD4	3.05
MFSD5	3.48
MFSD6	6.76
MFSD6L	-0.05
MFSD7	5.17
MFSD8	5.08
MFSD9	6.83
MGA	1.52
MGAM	-6.54
MGARP	-4.74
MGAT1	-0.08
MGAT2	-6.08
MGAT3	2.4
MGAT4A	-6.44
MGAT4B	-3.72
MGAT4C	2.49
MGAT5	2.1
MGAT5B	-1.76
MGEA5	-5.42
MGLL	3.04
MGME1	6.17
MGMT	-9.63
MGP	4.98
MGRN1	-4.54
MGST1	-8.28
MGST2	-1.27
MGST3	6.36
MIA	1.79
MIA2	-3.05
MIA3	-4.37
MIB1	-0.75
MIB2	-7.59
MICA	0.7
MICAL1	6.07
MICAL2	-5.51
MICAL3	-0.75
MICALCL	-1.04
MICALL1	-5.41
MICALL2	-0.86
MICB	8.68
MICU1	1.89
MICU2	9.96
MICU3	-3.02
MID1	-9.89
MID1IP1	-4.45
MID2	-7.09
MIDN	-5.29
MIEF1	0.85
MIEF2	-0.08
MIEN1	4.59
MIER1	2.81
MIER2	-8.55
MIER3	9.31
MIF	9.16
MIF4GD	1.02
MIIP	-9.87
MILR1	-9.92
MINA	-7.98
MINK1	-0.35
MINOS1	6.89
MINPP1	0.34
MIOS	3.34
MIOX	3.21
MIP	-9.78
MIPEP	1.09
MIPOL1	-1.42
MIR205HG	6.53
MIS12	0.39
MIS18A	-0.06
MIS18BP1	2.87
MISP	-0.94
MITD1	-6.35
MITF	-7.02
MIXL1	7.71
MKI67	7.36
MKI67IP	-2.98
MKKS	7.69
MKL1	-0.26
MKL2	1.92
MKLN1	-4.38
MKNK1	1.55
MKNK2	-7.82
MKRN1	-3.04
MKRN2	5.31
MKRN3	9.02
MKS1	-3.27
MKX	-5.9
MLANA	6.84
MLC1	-0.7
MLEC	-6.57
MLF1	3.44
MLF1IP	1.75
MLF2	-1.62
MLH1	3.93
MLH3	8.09
MLIP	-2.8
MLKL	0.25
MLLT1	7.03
MLLT10	8.97
MLLT11	-2.39
MLLT3	-5.79
MLLT4	-0.91
MLLT6	8.68
MLN	7.35
MLNR	-0.27
MLPH	-5.54
MLST8	-0.73
MLX	7.2
MLXIP	-5.12
MLXIPL	3.96
MLYCD	-3.92
MMAA	7.27
MMAB	-7.83
MMACHC	-4.98
MMADHC	5.7
MMD	-5.95
MMD2	5
MME	-3.06
MMEL1	-0.27
MMGT1	-5.1
MMP1	-2.56
MMP10	-5.23
MMP11	-1.11
MMP12	2.04
MMP13	-2.56
MMP14	5.01
MMP15	7.35
MMP16	-3.03
MMP17	-3.3
MMP19	-7.5
MMP2	-6.35
MMP20	-7.12
MMP21	-6.14
MMP23B	0.61
MMP24	-5.33
MMP25	1.42
MMP26	-8.32
MMP27	-6.4
MMP28	-2.04
MMP3	-9.09
MMP7	-2.19
MMP8	-8.47
MMP9	-0.13
MMRN1	4.27
MMRN2	-5.7
MMS19	1.21
MMS22L	2.97
MN1	-4.09
MNAT1	-4.22
MND1	0
MNDA	8.36
MNS1	6.51
MNT	9.7
MNX1	-8.35
MOAP1	3.19
MOB1A	-0.41
MOB1B	3.28
MOB2	-6.16
MOB3A	-8.43
MOB3B	0.83
MOB3C	-5.03
MOB4	-6.53
MOBP	-0.96
MOCOS	9.02
MOCS1	5.78
MOCS2	-3.56
MOCS3	2.23
MOG	-6.28
MOGAT1	2.86
MOGAT2	3.36
MOGAT3	4.06
MOGS	-9.68
MOK	-9.74
MON1A	-8.5
MON1B	0.65
MON2	6.7
MORC1	0.6
MORC2	7.56
MORC3	0.37
MORC4	-1.79
MORF4L1	-5.62
MORF4L2	-6.25
MORN1	5
MORN2	-1.17
MORN3	-3.12
MORN4	9.6
MORN5	-1.52
MOS	1.75
MOSPD1	4.54
MOSPD2	-2.17
MOSPD3	-8.81
MOV10	-5.43
MOV10L1	3.67
MOXD1	-4
MPC1	5.61
MPC1L	-6.97
MPC2	8.77
MPDU1	2.69
MPDZ	5.42
MPEG1	-4.5
MPG	1.69
MPHOSPH10	-6.1
MPHOSPH6	-9.88
MPHOSPH8	-8.53
MPHOSPH9	8.53
MPI	6.53
MPL	6.79
MPLKIP	-7.88
MPND	8.06
MPO	2.68
MPP1	4.53
MPP2	-9.45
MPP3	4.92
MPP4	-8.67
MPP5	2.94
MPP6	-0.2
MPP7	-6.43
MPPE1	-2.1
MPPED1	4.69
MPPED2	5.41
MPRIP	-7.73
MPST	-9.27
MPV17	-9.99
MPV17L	-3.25
MPV17L2	0.81
MPZ	-1.03
MPZL1	-1.88
MPZL2	0.55
MPZL3	1.41
MR1	-1.46
MRAP	4.36
MRAP2	-0.44
MRAS	-9.58
MRC1	6.33
MRC2	0.95
MRE11A	-9.22
MREG	0.05
MRFAP1	-8.67
MRFAP1L1	-1.77
MRGBP	-3.74
MRGPRD	-3.56
MRGPRE	-7.93
MRGPRF	-4.29
MRGPRG	-9.28
MRGPRX1	-2.73
MRGPRX2	4.28
MRGPRX3	-0.66
MRGPRX4	0.77
MRI1	7.46
MRM1	-5.87
MRO	4.52
MROH1	-7.83
MROH2A	4.42
MROH2B	3.59
MROH5	3.38
MROH6	-0.34
MROH7	-4.09
MROH8	-6.6
MROH9	6.2
MRP63	-4.95
MRPL1	2.33
MRPL10	-8.98
MRPL11	4.33
MRPL12	-8.67
MRPL13	-8.55
MRPL14	-1.15
MRPL15	1.17
MRPL16	-9.94
MRPL17	6.2
MRPL18	-2.42
MRPL19	7.99
MRPL2	-1.72
MRPL20	-2.54
MRPL21	8.97
MRPL22	8.57
MRPL23	5.31
MRPL24	6.97
MRPL27	-4.08
MRPL28	0.12
MRPL3	-7.96
MRPL30	-8.73
MRPL32	2.01
MRPL33	-1.51
MRPL34	-9.99
MRPL35	9.79
MRPL36	3.09
MRPL37	-9.76
MRPL38	4.29
MRPL39	4.33
MRPL4	0.06
MRPL40	0.11
MRPL41	5.32
MRPL42	-7.76
MRPL43	5.67
MRPL44	-0.42
MRPL45	4.65
MRPL46	-5.29
MRPL47	-7.09
MRPL48	7.12
MRPL49	-7.46
MRPL50	-3.65
MRPL51	-8.14
MRPL52	2.98
MRPL53	8.18
MRPL54	-8.32
MRPL55	6.25
MRPL9	2.6
MRPS10	8.23
MRPS11	0.39
MRPS12	2.84
MRPS14	4.36
MRPS15	6.07
MRPS16	9.04
MRPS17	-8.5
MRPS18A	-4.17
MRPS18B	-2.3
MRPS18C	6.68
MRPS2	9.53
MRPS21	9.65
MRPS22	4.08
MRPS23	3.85
MRPS24	4.15
MRPS25	-7.47
MRPS26	-0.83
MRPS27	-8.74
MRPS28	-8.53
MRPS30	-3.66
MRPS31	-3.37
MRPS33	-8.21
MRPS34	9.37
MRPS35	7.77
MRPS36	9.25
MRPS5	-1.28
MRPS6	1.48
MRPS7	-0.95
MRPS9	1.16
MRRF	6.1
MRS2	-2.57
MRTO4	9.39
MRVI1	-9.12
MS4A1	-9.18
MS4A10	-0.4
MS4A12	-0.76
MS4A13	4.2
MS4A14	-8.68
MS4A15	-5.88
MS4A2	-7.4
MS4A3	-5.16
MS4A4A	-4.84
MS4A5	-4.72
MS4A6A	0.9
MS4A6E	-3.58
MS4A7	3.97
MS4A8	-2.68
MSANTD1	-2.73
MSANTD2	1.63
MSANTD3	-3.95
MSANTD4	-6.38
MSC	8.92
MSGN1	-9.35
MSH2	-7.29
MSH3	3.97
MSH4	5.71
MSH5	-2.98
MSH6	-7.54
MSI1	4.86
MSI2	-2.63
MSL1	-2.82
MSL2	9.31
MSL3	-6.81
MSLN	2.82
MSMB	-9.56
MSMO1	-4.47
MSMP	-9.93
MSN	-1.85
MSR1	8.18
MSRA	-0.21
MSRB1	2.03
MSRB2	0.07
MSRB3	-5.08
MSS51	-7.13
MST1	-1.68
MST1L	-2.02
MST1R	-4.45
MST4	-6.56
MSTN	-7.93
MSTO1	7.71
MSX1	-9.57
MSX2	-5.99
MT1A	6.35
MT1B	3.25
MT1E	0.22
MT1F	-0.73
MT1G	9.33
MT1H	-4.37
MT1HL1	4.75
MT1M	-2.86
MT1X	-3.09
MT2A	0.54
MT3	4.87
MT4	-3.99
MTA1	3.01
MTA2	-1.89
MTA3	-4.86
MTAP	7.45
MTBP	-5.05
MTCH1	-7.84
MTCH2	-4.53
MTCP1	7.82
MTDH	-1.97
MTERF	-0.6
MTERFD1	2.92
MTERFD2	4.71
MTERFD3	-9.45
MTF1	-2.79
MTF2	0.82
MTFMT	-9.31
MTFP1	-9.41
MTFR1	5.14
MTFR1L	7.01
MTFR2	8.12
MTG1	-5.23
MTG2	8.94
MTHFD1	9.01
MTHFD1L	-6.64
MTHFD2	9.82
MTHFD2L	2.23
MTHFR	8.91
MTHFS	-3.06
MTHFSD	0.84
MTIF2	-8.8
MTIF3	6.7
MTL5	-9.6
MTM1	-6.12
MTMR1	8.9
MTMR10	9.52
MTMR11	-2.65
MTMR12	-2.63
MTMR14	-4.42
MTMR2	2.07
MTMR3	-6.11
MTMR4	-3.79
MTMR6	-1.77
MTMR7	4.18
MTMR8	-5.59
MTMR9	-5.86
MTNR1A	5.31
MTNR1B	8.02
MTO1	4.17
MTOR	8.67
MTPAP	-0.71
MTPN	6.06
MTR	2.29
MTRF1	9.23
MTRF1L	5.22
MTRNR2L1	2.37
MTRNR2L10	5.64
MTRNR2L3	3.68
MTRNR2L5	9.31
MTRNR2L6	5.22
MTRNR2L7	-3.94
MTRNR2L8	4.23
MTRNR2L9	2.5
MTRR	2.48
MTSS1	3.15
MTSS1L	-6.3
MTTP	7.7
MTUS1	1.36
MTUS2	8.67
MTX1	0.18
MTX2	-3.31
MTX3	-7.95
MUC1	0.46
MUC12	9.12
MUC13	-9.75
MUC15	-1.32
MUC16	6.89
MUC17	6.77
MUC19	-8.55
MUC2	-9.2
MUC20	3.85
MUC21	7.53
MUC22	3.85
MUC4	2.68
MUC5B	-6.88
MUC6	-1.04
MUC7	-1.89
MUCL1	9.09
MUL1	-4.13
MUM1	-5.98
MUM1L1	5.94
MURC	2.38
MUS81	-2.56
MUSK	-7.3
MUSTN1	5.64
MUT	-4.46
MUTYH	3.07
MVB12A	-4.01
MVB12B	-8.95
MVD	9.14
MVK	-8.19
MVP	1.28
MX1	0.63
MX2	-7.87
MXD1	3.27
MXD3	5.67
MXD4	-7.15
MXI1	-5.97
MXRA5	-8.49
MXRA7	-2.08
MXRA8	5.86
MYADM	7.46
MYADML2	1.75
MYB	-0.14
MYBBP1A	6.85
MYBL1	5.07
MYBL2	4.1
MYBPC1	8.63
MYBPC2	1.86
MYBPC3	-3.3
MYBPH	-0.11
MYBPHL	2.44
MYC	2.3
MYCBP	1.11
MYCBP2	5.22
MYCBPAP	6.06
MYCL	9.2
MYCN	-0.1
MYCT1	0.81
MYD88	-4.48
MYEF2	-2.12
MYEOV	1.38
MYEOV2	0.82
MYF5	2.46
MYF6	-9.25
MYH1	-0.12
MYH10	5.8
MYH11	5.04
MYH13	1.21
MYH14	8.5
MYH15	7.34
MYH2	-3.8
MYH3	-5.59
MYH4	-1.04
MYH6	-6.34
MYH7	4.61
MYH7B	7.45
MYH8	9.99
MYH9	7.39
MYL1	0.41
MYL10	-9.73
MYL12A	5.95
MYL12B	-4.1
MYL2	-6.52
MYL3	-0.89
MYL4	7.48
MYL5	-8.21
MYL6	-2.93
MYL6B	-8.73
MYL7	5.55
MYL9	-2.82
MYLIP	7.97
MYLK	-0.78
MYLK2	0.6
MYLK3	-8.39
MYLK4	-5.03
MYLPF	0.48
MYNN	-7.84
MYO10	-4.55
MYO15A	7.31
MYO16	6.97
MYO18A	4.86
MYO18B	0.47
MYO19	-4.09
MYO1A	1.98
MYO1B	1.32
MYO1C	-8.68
MYO1D	0.02
MYO1E	-8.73
MYO1F	8.25
MYO1G	5.06
MYO1H	-6.01
MYO3A	1.29
MYO3B	-6.15
MYO5A	1.54
MYO5B	8.34
MYO5C	-6.54
MYO6	5.24
MYO7A	3.24
MYO7B	1.26
MYO9A	4.44
MYO9B	1.56
MYOC	-8.92
MYOCD	2.96
MYOD1	1.34
MYOF	-4.87
MYOG	-5.4
MYOM1	3.58
MYOM2	-5.62
MYOM3	3.38
MYOT	1.91
MYOZ1	2.6
MYOZ2	0.6
MYOZ3	7.08
MYPN	-7.79
MYPOP	-9.55
MYRF	6.24
MYRIP	-1.56
MYSM1	-0.46
MYT1	3.06
MYT1L	-8.73
MYZAP	5.84
MZB1	-3.81
MZF1	0.96
MZT1	-1.63
MZT2A	-2.34
MZT2B	-5.48
N4BP1	0.64
N4BP2	3.61
N4BP2L1	-5.4
N4BP2L2	1.44
N4BP3	-2.26
N6AMT1	9.95
N6AMT2	4.72
NAA10	6.25
NAA11	-1.98
NAA15	5.84
NAA16	7.6
NAA20	-8.06
NAA25	-7.52
NAA30	2.41
NAA35	3.72
NAA38	3.62
NAA40	-3.41
NAA50	5.01
NAA60	8.3
NAAA	-2.94
NAALAD2	8.43
NAALADL1	-1.89
NAALADL2	-0.62
NAB1	-4.19
NAB2	-3.45
NABP1	5.02
NABP2	-8.05
NACA	-3.6
NACA2	7.64
NACAD	-7.96
NACC1	-8.72
NACC2	-6.1
NADK	6.31
NADK2	-0.86
NADSYN1	3.49
NAE1	-0.22
NAF1	-1.52
NAGA	1.07
NAGK	6.06
NAGLU	-1.4
NAGPA	-8.94
NAGS	8.14
NAIF1	-3.92
NAIP	-2.63
